interaction_id,DRUG_NAME,TARGET_NAME,TARGET_CLASS,ACTION_TYPE,interaction_text
0,levobupivacaine,potassium voltage-gated channel subfamily h member 2,ion channel,,Drug: levobupivacaine | Target: potassium voltage-gated channel subfamily h member 2 | Type: ion channel | Action: nan
1,levobupivacaine,sodium channel protein type 1 subunit alpha,ion channel,,Drug: levobupivacaine | Target: sodium channel protein type 1 subunit alpha | Type: ion channel | Action: nan
2,levobupivacaine,sodium channel protein type 4 subunit alpha,ion channel,BLOCKER,Drug: levobupivacaine | Target: sodium channel protein type 4 subunit alpha | Type: ion channel | Action: BLOCKER
3,levobupivacaine,prostaglandin e2 receptor ep1 subtype,gpcr,,Drug: levobupivacaine | Target: prostaglandin e2 receptor ep1 subtype | Type: gpcr | Action: nan
4,levobupivacaine,cytochrome p450 2d6,enzyme,,Drug: levobupivacaine | Target: cytochrome p450 2d6 | Type: enzyme | Action: nan
5,levobupivacaine,5-hydroxytryptamine receptor 3a,ion channel,,Drug: levobupivacaine | Target: 5-hydroxytryptamine receptor 3a | Type: ion channel | Action: nan
6,levobupivacaine,potassium voltage-gated channel subfamily d member 3,ion channel,,Drug: levobupivacaine | Target: potassium voltage-gated channel subfamily d member 3 | Type: ion channel | Action: nan
7,levobupivacaine,potassium voltage-gated channel subfamily a member 5,ion channel,,Drug: levobupivacaine | Target: potassium voltage-gated channel subfamily a member 5 | Type: ion channel | Action: nan
8,(s)-nicardipine,voltage-gated l-type calcium channel,ion channel,BLOCKER,Drug: (s)-nicardipine | Target: voltage-gated l-type calcium channel | Type: ion channel | Action: BLOCKER
9,(s)-nitrendipine,intermediate conductance calcium-activated potassium channel protein 4,ion channel,BLOCKER,Drug: (s)-nitrendipine | Target: intermediate conductance calcium-activated potassium channel protein 4 | Type: ion channel | Action: BLOCKER
10,(s)-nitrendipine,voltage-dependent l-type calcium channel subunit alpha-1d,ion channel,GATING INHIBITOR,Drug: (s)-nitrendipine | Target: voltage-dependent l-type calcium channel subunit alpha-1d | Type: ion channel | Action: GATING INHIBITOR
11,(s)-nitrendipine,voltage-dependent l-type calcium channel subunit alpha-1f,ion channel,GATING INHIBITOR,Drug: (s)-nitrendipine | Target: voltage-dependent l-type calcium channel subunit alpha-1f | Type: ion channel | Action: GATING INHIBITOR
12,(s)-nitrendipine,voltage-dependent l-type calcium channel subunit alpha-1c,ion channel,GATING INHIBITOR,Drug: (s)-nitrendipine | Target: voltage-dependent l-type calcium channel subunit alpha-1c | Type: ion channel | Action: GATING INHIBITOR
13,(s)-nitrendipine,voltage-dependent l-type calcium channel subunit alpha-1s,ion channel,GATING INHIBITOR,Drug: (s)-nitrendipine | Target: voltage-dependent l-type calcium channel subunit alpha-1s | Type: ion channel | Action: GATING INHIBITOR
14,(s)-nitrendipine,voltage-dependent l-type calcium channel subunit alpha-1c,ion channel,BLOCKER,Drug: (s)-nitrendipine | Target: voltage-dependent l-type calcium channel subunit alpha-1c | Type: ion channel | Action: BLOCKER
15,levdobutamine,beta-1 adrenergic receptor,gpcr,AGONIST,Drug: levdobutamine | Target: beta-1 adrenergic receptor | Type: gpcr | Action: AGONIST
16,aminopterin,dihydrofolate reductase,enzyme,,Drug: aminopterin | Target: dihydrofolate reductase | Type: enzyme | Action: nan
17,aminopterin,dihydrofolate reductase,enzyme,,Drug: aminopterin | Target: dihydrofolate reductase | Type: enzyme | Action: nan
18,aminopterin,dihydrofolate reductase,enzyme,,Drug: aminopterin | Target: dihydrofolate reductase | Type: enzyme | Action: nan
19,aminopterin,folylpoly-gamma-glutamate synthetase,enzyme,,Drug: aminopterin | Target: folylpoly-gamma-glutamate synthetase | Type: enzyme | Action: nan
20,aminopterin,dihydrofolate reductase,enzyme,INHIBITOR,Drug: aminopterin | Target: dihydrofolate reductase | Type: enzyme | Action: INHIBITOR
21,phenylbutanoic acid,aldose reductase,enzyme,,Drug: phenylbutanoic acid | Target: aldose reductase | Type: enzyme | Action: nan
22,phenylbutanoic acid,histone deacetylase 2,enzyme,,Drug: phenylbutanoic acid | Target: histone deacetylase 2 | Type: enzyme | Action: nan
23,phenylbutanoic acid,histone deacetylase 1,enzyme,,Drug: phenylbutanoic acid | Target: histone deacetylase 1 | Type: enzyme | Action: nan
24,phenylbutanoic acid,histone deacetylase 8,enzyme,,Drug: phenylbutanoic acid | Target: histone deacetylase 8 | Type: enzyme | Action: nan
25,azacitidine,dna (cytosine-5)-methyltransferase 1,enzyme,INHIBITOR,Drug: azacitidine | Target: dna (cytosine-5)-methyltransferase 1 | Type: enzyme | Action: INHIBITOR
